"chapter","item_id","schema","specification","lexical_coverage","advisory_low"
1,"C01-01","numbered","(1) Three motivating questions from a real screening context — *what is   this student's score*, *who are the lowest five*, *what fraction is below the   benchmark*.",0.75,FALSE
1,"C01-02","numbered","(2) Why these are three **different estimands**, not three readings of   one.",1,FALSE
1,"C01-03","numbered","(3) The two levers: the assumed latent distribution `G`, and the posterior   summary.",1,FALSE
1,"C01-04","numbered","(4) What ""reliability"" means here and why the field's 0.7 threshold needs a   scale attached to it — the direct answer to **R2 comment 1**, which asked for exactly   this context. Cite the observed ranges: Conoyer et al. (2022) 0.21–0.89; Rutkowski &   Rutkowski (2013) 0.41–0.66 in PISA SES subscales; Abedi (2002) 0.83–0.92 overall but   lower for ELL students.",0.8,FALSE
1,"C01-05","numbered","(5) A short closing orientation that routes readers without   previewing each later section.",0,TRUE
2,"C02-01","numbered","(1) Data structure: $P$ persons × $I$ items; $U_{pi}$ random vs   $u_{pi}$ realized; $\mathbf{u}_p$ (**defined** — R2's second bullet); row and column   margins.",0.9,FALSE
2,"C02-02","numbered","(2) The master notation table, with the deliberate departures from the   manuscript flagged: $\boldsymbol{\delta} = (\mu_\theta, \sigma^2_\theta)^\top$ with   ""="" not ""∈"" (**R2**); one symbol for information throughout, resolving the   apparent $\mathcal{J}$/$\mathcal{I}$ slippage in the manuscript text (verify against   the PDF first — it may be an OCR artifact); **discrimination $\lambda_i$ present   from the start (TD-3), and the posterior variance written $v_p$ rather than Shen &   Louis's $\lambda_p$** to break the resulting collision — the departure is stated here,   in the Appendix B crosswalk, and again at its first use in ch. 11.",0.758620689655172,FALSE
2,"C02-02B","numbered","(2b) **The two models side by side**: the Rasch model as the $\lambda_i \equiv 1$   special case, and a list of which later results are Rasch-only. That list —   sufficiency, CML, and the absence of scale indeterminacy — is short, and it is   exactly what makes the Rasch model the cleaner vehicle for the book's arguments even   though both are carried.",0.666666666666667,FALSE
2,"C02-03","numbered","(3) **The framework table**: what   a distributional assumption on $\theta$ is in MML (a device for marginalization, a   modelling assumption with frequentist standing) versus in Bayes (a prior, but a   *hierarchical* one, which is why the distinction is subtle rather than empty); what   is a prior in both frameworks (the item-parameter distribution); and the   consequence — *""assuming normality"" is not a Bayesian sin, it is a modelling choice   both frameworks make.*",0.80952380952381,FALSE
2,"C02-04","numbered","(4) Why ""first stage / second stage"" is dropped in favour of   **Level 1 (measurement) / Level 2 (population) / Level 3 (hyperprior)** — **R2's   fifth bullet**.",0.428571428571429,TRUE
2,"C02-05","numbered","(5) Cross-reference conventions and the provenance-tag key.",1,FALSE
3,"C03-01","numbered","(1) Bernoulli–logit formulation; the IRF; the log-odds reading.",0,TRUE
3,"C03-02","numbered","(2) Local stochastic independence in its two parts — within-person across items,   between persons — stated separately because the second is what a hierarchical   population model later modifies.",0.833333333333333,FALSE
3,"C03-03","numbered","(3) The likelihood; exponential-family form;   **Theorem (sufficiency):** $r_p$ is sufficient for $\theta_p$ and $c_i$ for   $\beta_i$, with proof.",1,FALSE
3,"C03-04","numbered","(4) Specific objectivity and separability of parameters; what   they buy and what they cost.",0.75,FALSE
3,"C03-05","numbered","(5) **The 2PL, and what generalizing costs.** The item response function with a   discrimination parameter; the likelihood; and then, precisely, what is lost. The   total score $r_p$ is no longer sufficient for $\theta_p$; the weighted score   $\sum_i \lambda_i u_{pi}$ is, but it depends on unknown parameters, which is the whole   difficulty. The exponential-family structure that makes ch. 5's conditional argument   available disappears, and specific objectivity goes with it. State this as a   proposition, because it is the single fact that organizes every Rasch/2PL difference   later in the book.",0.785714285714286,FALSE
3,"C03-06","numbered","(6) Bounded sections: what *fit* assessment looks like, and the   Rasch-versus-IRT modelling-philosophy dispute — one page each, signposted, not   litigated.",0.375,TRUE
4,"C04-01","numbered","(1) What identification *is*: observational equivalence, the   likelihood-level statement, and why ""not identified"" does not mean ""not estimable.""",0.857142857142857,FALSE
4,"C04-02","numbered","(2) **Proposition (location indeterminacy):** $(\theta_p + c, \beta_i + c)$ is   observationally equivalent to $(\theta_p, \beta_i)$ — proof, one line, but stated   properly.",0.428571428571429,TRUE
4,"C04-03","numbered","(3) **Scale.** The Rasch model has **no scale indeterminacy**, because the   discrimination is fixed at 1; the 2PL has one, because $(\theta_p, \lambda_i, \beta_i)   \mapsto (c\theta_p, \lambda_i/c, c\beta_i)$ leaves the likelihood unchanged. Both   proved. Under TD-3 this is a main topic rather than a contrast: the 2PL needs **two**   constraints where the Rasch model needs one, and the choice of the second reaches   into Part V, because the scale it pins is the scale of `G`.",0.714285714285714,FALSE
