"check_id","claim","pass","detail"
"FC01","F-flexible-tree separates population K from occupied-sample K_J",TRUE,"DP population count is infinite; K_J is occupied, posterior, and sample-size dependent; MFM places a prior on finite population K"
"FC02","F-gr-pipeline arrowheads terminate at GR and left/right labels match geometry",TRUE,"12 arrows: 6 right, 6 left; rank permutation preserved"
"FC03","F-c4-reversal uses distinct-fit semantics, C4 reversal, and a real C13 tie",TRUE,"13 cases; 6 direction agreements; C4 +.482 versus -.511; C13 marginal_rxx .706 = .706"
"FC04","F-irw-reliability preserves WLE n=879 and frozen-889/public-879 provenance",TRUE,"frozen rows/EAP/WLE = 889/889/879; public rows = 879; 21 WLE values clipped to zero for plotting"
"FC05","F-irw-shapes reports all three abs(skew)>6 clipped observations",TRUE,"504 analysis rows; 3 estimates have absolute skewness above 6"
"FC06","figure generator source hashes are pinned",TRUE,"22-figures-v2-concepts.R=f3a8f7843c86; 23-figures-v2-theory.R=ac462c04dca0; 24-figures-v2-evidence.R=4abfe8bab60a"
"FC07","the four figure evidence sources match their frozen ledger hashes",TRUE,"SRC-CASE-RELIABILITY=4356d4693e63; SRC-IRW-REL-FULL889=b6b451c6230f; SRC-IRW-REL-PUBLIC879=4c4797ce6e28; SRC-IRW-SHAPE504=a7e2a99ff4f8"
"FC08","F-rel-functionals has the asserted opposite ordering",TRUE,"16 items; tower 6 high-discrimination items; resource ratio 4.624; MSEM 0.725643>0.596912; EAP variance 0.730700<0.810699"
"FC09","F-shrink-deviation stays above sqrt(rho) and mistargeting widens the gap",TRUE,"14 designs; positive gaps 0.000453 to 0.038873"
"FC10","F-tif-concentration keeps equal quadratic budgets while distinguishing integrated information",TRUE,"sum(lambda^2)=20.000000/20.000000; integrated J=20.000000/18.094615; rho 0.777556>0.764176"
"FC11","F-dp-draws uses completed unit-mass sticks and independent rows",TRUE,"93 draws; max |sum(w)-1| 1.55e-15"
